,Divy,Div,Price,Low1,High1,Low52,High52,EPS,PE,Vol,Cap
UNITED ENGINEERS LTD ORD (U04),1.24,0.03,2.4200,2.4100,2.4400,2.3500,2.8400,0.09,27.82,"383,639",1.49B
UNITED FOOD HOLDINGS LIMITED (AZR),,,0.1200,0.1200,0.1200,0.1200,0.3950,0.06,2.07,382,18.948M
UNITED GLOBAL LIMITED (43P),,,0.4500,0.4250,0.4500,0.3950,0.4800,,14.06,"3,757",142.295M
UNITED INDUSTRIAL CORP LTD (U06),1.01,0.03,2.9700,2.9400,2.9700,2.7000,3.3400,0.22,13.42,"30,404",4.212B
UNITED OVERSEAS AUSTRALIA LTD (EH5),4.02,0.02,0.6000,0.6000,0.6000,0.5800,0.7250,0.06,10.53,"1,596",887.49M
UNITED OVERSEAS BANK LTD (U11),4.00,1.00,25.00,24.92,25.31,23.80,30.37,2.33,10.85,"2,066,303",42.093B
UNITED OVERSEAS INSURANCE LTD (U13),2.42,0.17,7.02,7.05,7.07,6.15,7.90,0.39,18.13,"1,695",432.366M
UNIVERSAL RESOURCE & SVCS LTD (BGO),,,,,,,,,,,
UNUSUAL LIMITED (1D1),,,0.3000,0.2950,0.3300,0.2600,0.5150,,33.33,"917,861",308.754M
UOB-KAY HIAN HOLDINGS LIMITED (U10),3.76,0.05,1.2500,1.2500,1.2500,1.1600,1.4500,0.11,11.68,"57,768",1.008B
UOL GROUP LIMITED (U14),2.66,0.17,6.59,6.56,6.66,5.91,8.98,0.51,12.87,"1,239,266",5.59B
USP GROUP LIMITED (BRS),,,0.0930,0.0930,0.0930,0.0630,0.1850,-0.009,,"2,382",8.397M
VALLIANZ HOLDINGS LTD (WPC),,,0.2150,0.1920,0.2050,0.1500,0.4200,,,"123,861",114.667M
VALUEMAX GROUP LIMITED (T6I),4.34,0.01,0.2850,0.2800,0.2850,0.2650,0.3100,0.038,7.50,"44,910",152.018M
VALUETRONICS HOLDINGS LIMITED (BN2),4.97,0.04,0.7050,0.7100,0.7200,0.5850,1.1200,0.06,12.03,"2,894,728",307.698M
VASHION GROUP LTD. (1F4),,,0.0020,0.0020,0.0030,0.0020,0.0060,,,187,2.399M
VENTURE CORPORATION LIMITED (V03),7.05,1.30,18.45,18.48,19.50,13.20,29.65,1.27,15.00,"1,258,713",5.494B
VERSALINK HOLDINGS LIMITED (40N),,,0.1350,0.1350,0.1350,0.1120,0.1400,,,237,18.225M
VIBRANT GROUP LIMITED (BIP),,,0.1390,0.1360,0.1360,0.1180,0.3700,-0.033,,"117,823",91.116M
VIBROPOWER CORPORATION LIMITED (BJD),,,0.1100,0.1020,0.1100,0.1020,0.1440,0.01,9.17,673,3.955M
VICOM LTD (V01),7.37,0.46,6.29,6.30,6.32,5.90,6.33,0.39,16.12,"16,607",560.217M
VICPLAS INTERNATIONAL LTD (569),11.11,0.01,0.0900,0.0900,0.0900,0.0750,0.1130,0.01,15.00,"8,448",45.47M
VIKING OFFSHORE AND MARINE LTD (557),,,0.0070,0.0060,0.0060,0.0040,0.0160,,,"189,868",6.592M
VIVIDTHREE HOLDINGS LTD. (OMK),,,0.2100,0.1750,0.2050,0.1360,0.2600,,,"105,385",58.452M
WEE HUR HOLDINGS LTD. (E3B),3.72,0.01,0.2150,0.2100,0.2100,0.1950,0.2450,0.03,6.77,"161,203",193.041M
WILLAS-ARRAY ELEC (HLDGS) LTD (BDR),11.14,0.07,0.5950,0.5950,0.5950,0.5400,1.0909,0.088,6.76,"1,079",50.698M
WILMAR INTERNATIONAL LIMITED (F34),3.30,0.10,3.1800,3.1800,3.2500,2.9700,3.4000,0.18,18.20,"4,557,508",20.5B
WILTON RESOURCES CORP LIMITED (5F7),,,0.0330,0.0330,0.0330,0.0200,0.0630,,,"54,007",80.411M
WING TAI HLDGS LTD (W05),1.49,0.03,2.0100,2.0100,2.0400,1.8300,2.2400,0.27,7.49,"353,617",1.558B
WONG FONG INDUSTRIES LIMITED (1A1),,,0.1450,0.1500,0.1500,0.1300,0.2000,,8.33,"4,012",35.25M
WORLD CLASS GLOBAL LIMITED (1E6),,,0.2000,0.1800,0.2000,0.1800,0.2450,,,"2,650",183.175M
WORLD PRECISION MACHINERY LTD (B49),,,0.1400,0.1400,0.1400,0.1290,0.1950,0.01,17.50,"7,140",56M
XMH HOLDINGS LTD. (BQF),,,0.1630,0.1630,0.1630,0.1600,0.3100,-0.051,,"1,093",17.813M
Y VENTURES GROUP LTD. (1F1),,,0.0540,0.0520,0.0530,0.0500,0.7400,,,"141,268",10.865M
YAMADA GREEN RESOURCES LIMITED (BJV),,,,,,,,,,,
YANGZIJIANG SHIPBLDG HLDGS LTD (BS6),3.13,0.04,1.4400,1.4200,1.4500,0.8400,1.4700,0.77,1.85,"16,068,016",5.642B
YANGZIJIANG SHIPBLDG HLDGS RMB (SO7),,,,,,,,,,,
YANLORD LAND GROUP LIMITED (Z25),4.89,0.07,1.3900,1.3600,1.4000,1.1600,1.8200,0.35,3.91,"1,637,596",2.666B
YEO HIAP SENG LTD (Y03),2.09,0.02,0.9550,0.9550,0.9650,0.8550,1.1900,0.03,28.24,"19,450",556.714M
YHI INTERNATIONAL LIMITED (BPF),3.66,0.01,0.4100,0.3950,0.4100,0.3750,0.4800,0.046,8.80,"31,160",118.38M
YINDA INFOCOMM LIMITED (42F),,,0.0100,0.0100,0.0110,0.0100,0.0950,,,"1,894",1.52M
YING LI INTL REAL ESTATE LTD (5DM),,,0.1210,0.1210,0.1240,0.0830,0.1460,0.014,8.71,"4,195,525",311.959M
YOMA STRATEGIC HOLDINGS LTD (Z59),0.74,0.00,0.3400,0.3400,0.3500,0.2400,0.4850,0.005,69.00,"3,110,539",654.058M
YONGMAO HOLDINGS LIMITED (BKX),2.50,0.01,0.4000,0.4000,0.4000,0.2050,0.5500,0.03,13.33,82,35.5M
YONGNAM HOLDINGS LIMITED (AXB),,,0.1600,0.1530,0.1600,0.1530,0.3300,-0.098,,"644,470",83.094M
YORKSHINE HOLDINGS LIMITED (MR8),,,,,,,,,,,
YUUZOO NETWORKS GROUP CORP (AFC),,,,,,,,,,,
ZHONGMIN BAIHUI RETAIL GRP LTD (5SR),,,0.8800,0.8800,0.8800,0.8800,0.8800,,,,
ZHONGXIN FRUIT AND JUICE LTD (5EG),,,0.0050,0.0050,0.0050,0.0050,0.0080,,,"9,602",5.277M
ZICO HOLDINGS INC. (40W),,,0.1450,0.1430,0.1430,0.1240,0.1600,,,"43,153",43.124M
3CNERGY LIMITED (502),,,0.0100,0.0100,0.0100,0.0100,0.0411,,,"30,781",30.671M
800 SUPER HOLDINGS LIMITED (5TG),,,0.6850,0.6700,0.6850,0.6000,1.1700,,8.88,"22,757",120.69M
8TELECOM INTL HOLDINGS CO LTD (AZG),,,0.0340,0.0340,0.0430,0.0010,0.2400,-0.009,,"120,804",3.824M
