,Code
IPC CORPORATION LIMITED,AZA
IPCO INT'L LIMITED,I11
IPS SECUREX HOLDINGS LIMITED,42N
ISDN HOLDINGS LIMITED,I07
ISEC HEALTHCARE LTD.,40T
ISETAN (SINGAPORE) LTD,I15
ISOTEAM LTD.,5WF
ISR CAPITAL LIMITED,5EC
IX BIOPHARMA LTD.,42C
JACKSPEED CORPORATION LIMITED,J17
JADASON ENTERPRISES LTD,J03
JAPAN FOODS HOLDING LTD.,5OI
JAPFA LTD.,UD2
JARDINE CYCLE & CARRIAGE LTD,C07
JARDINE MATHESON HLDGS LTD,J36
JARDINE STRATEGIC HLDGS LTD,J37
JASON HOLDINGS LIMITED,5I3
JASON MARINE GROUP LIMITED,5PF
JASPER INVESTMENTS LIMITED,FQ7
JAWALA INC.,1J7
JB FOODS LIMITED,BEW
JEP HOLDINGS LTD.,1J4
JES INTERNATIONAL HOLDINGS LTD,EG0
JIUTIAN CHEMICAL GROUP LIMITED,C8R
JOYAS INTERNATIONAL HLDGS LTD,E9L
JUBILEE INDUSTRIES HLDGS LTD.,5OS
JUMBO GROUP LIMITED,42R
KARIN TECHNOLOGY HLDGS LIMITED,K29
KATRINA GROUP LTD.,1A0
KENCANA AGRI LIMITED,BNE
KEONG HONG HOLDINGS LIMITED,5TT
KEPPEL CORPORATION LIMITED,BN4
KEPPEL INFRA TRUST WEF 2015,A7RU
KEPPEL TELE & TRAN,K11
KHONG GUAN LIMITED,K03
KIMHENG OFFSHORE&MARINE HLDLTD,5G2
KIMLY LIMITED,1D0
KING WAN CORPORATION LIMITED,554
KINGBOARD COPPER FOIL HDGS LTD,K14
KINGSMEN CREATIVES LTD,5MZ
KITCHEN CULTURE HOLDINGS LTD.,5TI
KLW HOLDINGS LTD,504
KODA LTD,BJZ
KOH BROTHERS ECO ENGG LIMITED,5HV
KOH BROTHERS GROUP LIMITED,K75
KOON HOLDINGS LIMITED,5DL
KOP LIMITED,5I1
KORI HOLDINGS LIMITED,5VC
KOUFU GROUP LIMITED,VL6
KOYO INTERNATIONAL LIMITED,5OC
KRISENERGY LTD.,SK3
KS ENERGY LIMITED,578
KSH HOLDINGS LIMITED,ER0
KTL GLOBAL LIMITED,EB7
LAFE CORPORATION LIMITED,AYB
LASSETERS INTL HOLDINGS LTD,5EL
LCT HOLDINGS LIMITED,BJL
LEADER ENVIRONMENTAL TECH LTD,LS9
LERENOBIO-CHEM,XCF
LEY CHOON GROUP HLDG LIMITED,Q0X
LHN LIMITED,41O
LHT HOLDINGS LIMITED,BEI
LIAN BENG GROUP LTD,L03
LIBRA GROUP LIMITED,5TR
LIFEBRANDZ LTD.,1D3
LINC ENERGY LTD,BRE
LION ASIAPAC LTD,BAZ
LIONGOLD CORP LTD,A78
LONZA GROUP LTD,O6Z
LORENZO INTERNATIONAL LIMITED,5IE
LOW KENG HUAT (SINGAPORE) LTD,F1E
LTC CORPORATION LIMITED,L17
LUM CHANG HOLDINGS LIMITED,L19
LUNG KEE (BERMUDA) HLDGS LTD,L09
LUXKING GROUP HOLDINGS LIMITED,BKK
LUZHOU BIO-CHEM TECHNOLOGY LTD,L46
LY CORPORATION LIMITED,1H8
M DEVELOPMENT LTD.,N14
M1 LIMITED,B2F
MAGNUS ENERGY GROUP LTD.,41S
MALAYSIA SMELTING CORP BHD,NPW
MANDARIN ORIENTAL INTL LTD,M04
MANHATTAN RESOURCES LIMITED,L02
MARCO POLO MARINE LTD.,5LY
MARUWA CO. LTD,M12
MARY CHIA HOLDINGS LIMITED,5OX
MATEX INTERNATIONAL LIMITED,M15
MAXI-CASH FIN SVCS CORP LTD,5UF
MDR LIMITED,A27
MEDINEX LIMITED,OTX
MEDTECS INTERNATIONAL CORP LTD,546
MEGACHEM LIMITED,5DS
MEGHMANI ORGANICS LIMITED,M30
MEGROUP LTD.,SJY
MEMORIES GROUP LIMITED,1H4
MEMSTAR TECHNOLOGY LTD.,5MS
MEMTECH INTERNATIONAL LTD,BOL
MENCAST HOLDINGS LTD.,5NF
MERCATOR LINES (SINGAPORE) LTD,EE6
MERCURIUS CAP INVESTMENT LTD,5RF
MERMAID MARITIME PUBLIC CO LTD,DU4
METAL COMPONENT ENGG LTD,5DX
METECH INTERNATIONAL LTD,V3M
METRO HOLDINGS LIMITED,M01
MEWAH INTERNATIONAL INC.,MV4
MFG INTEGRATION TECHNOLOGY LTD,M11
MICRO-MECHANICS (HOLDINGS) LTD,5DD
MIDAS HLDGS LIMITED,5EN
MINDCHAMPS PRESCHOOL LIMITED,CNE
MIRACH ENERGY LIMITED,AWO
MIYOSHI LIMITED,M03
MM2 ASIA LTD.,1B0
MMP RESOURCES LIMITED,F3V
MONEYMAX FINANCIAL SERVICESLTD,5WJ
MOYA HOLDINGS ASIA LIMITED,5WE
MS HOLDINGS LIMITED,40U
MSM INTERNATIONAL LIMITED,5QR
MTQ CORPORATION LIMITED,M05
MULTI-CHEM LIMITED,AWZ
MUN SIONG ENGINEERING LIMITED,MF6
MURATA MFG CO. LTD 100,M20
MYP LTD.,F86
NAM CHEONG LIMITED,N4E
NAM LEE PRESSED METAL INDS LTD,G0I
NATURAL COOL HOLDINGS LIMITED,5IF
NAUTICAWT LIMITED,42D
NEO GROUP LIMITED,5UJ
NERATELECOMMUNICATIONS LTD,N01
NET PACIFIC FIN HLDGS LTD,5QY
NETLINK NBN TRUST,CJLU
NEW SILKROUTES GROUP LIMITED,BMT
NEW TOYO INT HLDGS LTD,N08
NEW WAVE HOLDINGS LTD.,5FX
NGSC LIMITED,B07
NICO STEEL HOLDINGS LIMITED,5GF
NIPPECRAFT LIMITED,N32
NO SIGNBOARD HOLDINGS LTD.,1G6
NOBLE GROUP LIMITED,CGP
NOEL GIFTS INTERNATIONAL LTD,543
"NOMURA HOLDINGS, INC",N33
NORDIC GROUP LIMITED,MR7
NSL LTD.,N02
NTEGRATOR INTERNATIONAL LTD,5HC
NUTRYFARM INTERNATIONAL LTD,AZT
OCEAN SKY INTERNATIONAL LTD,1B6
OCEANUS GROUP LIMITED,579
OEL (HOLDINGS) LIMITED,584
OKH GLOBAL LTD.,S3N
OKP HOLDINGS LIMITED,5CF
OLAM INTERNATIONAL LIMITED,O32
OLD CHANG KEE LTD.,5ML
OLIVE TREE ESTATES LIMITED,1H2
ONEAPEX LIMITED,5SY
ORIENTAL GROUP LTD.,5FI
OSSIA INTERNATIONAL LTD,O08
OUE LIMITED,LJ3
OUE LIPPO HEALTHCARE LTD,5WA
OUHUA ENERGY HOLDINGS LIMITED,AJ2
OVERSEA-CHINESE BANKING CORP,O39
OVERSEAS EDUCATION LIMITED,RQ1
OXLEY HOLDINGS LIMITED,5UX
P5 CAPITAL HOLDINGS LTD.,5AI
PACC OFFSHORE SVCS HLDG LTD.,U6C
PACIFIC ANDES RESOURCES DEVLTD,P11
PACIFIC CENTURY REGIONAL DEVTS,P15
PACIFIC RADIANCE LTD.,T8V
PACIFIC STAR DEVELOPMENT LTD,1C5
PAN ASIAN HOLDINGS LIMITED,5EW
PAN HONG HOLDINGS GROUP LTD,P36
"PAN OCEAN CO., LTD.",AZY
PAN-UNITED CORPORATION LTD,P52
PARKSON RETAIL ASIA LIMITED,O9E
PAVILLON HOLDINGS LTD.,596
PCI LIMITED,P19
PEC LTD.,IX2
PENGUIN INTERNATIONAL LIMITED,BTM
PERENNIAL REAL ESTATE HLDGSLTD,40S
PHARMESIS INTERNATIONAL LTD.,BFK
PINE CAPITAL GROUP LIMITED,ADJ
PLASTOFORM HOLDINGS LIMITED,AYD
PLATO CAPITAL LIMITED,5PI
PNE INDUSTRIES LTD,BDA
POLARIS LTD.,5BI
POLLUX PROPERTIES LTD.,5AE
POWERMATIC DATA SYSTEMS LTD,BCY
PROCURRI CORPORATION LIMITED,BVQ
PROGEN HOLDINGS LTD,583
PROPNEX LIMITED,OYY
PRUDENTIAL PLC,K6S
PS GROUP HOLDINGS LTD.,5WD
PSL HOLDINGS LTD,BLL
PT BERLIAN LAJU TANKER TBK,B66
Q & M DENTAL GROUP (S) LIMITED,QC7
QAF LTD,Q01
QIAN HU CORPORATION LIMITED,BCV
QINGMEI GROUP HOLDINGS LIMITED,KT9
QT VASCULAR LTD.,5I0
RAFFLES EDUCATION CORP LTD,NR7
RAFFLES INFRASTRUCTUREHLDGSLTD,LUY
RAFFLES MEDICAL GROUP LTD,BSL
RAFFLES UNITED HOLDINGS LTD.,K22
RAMBA ENERGY LIMITED,R14
RE&S HOLDINGS LIMITED,1G1
REGAL INTERNATIONAL GROUP LTD.,UV1
RENEWABLE ENERGY ASIA GRP LTD,5DW
