,Divy,Div,Price,Low7,High7,Low52,High52,EPS,PE,ROE,NTA,Vol,Cap
MANULFE (1058),3.09,8.000,2.590,2.310,2.600,2.300,3.120,12.97,19.97,3.20,4.050,115,524.14m
MARCO (3514),4.17,0.500,0.120,0.120,0.130,0.115,0.145,1.34,8.96,7.44,0.180,"4,391",126.52m
MASTEEL (5098),2.05,0.900,0.440,0.400,0.520,0.340,1.111,1.57,28.03,1.01,1.550,"51,675",187.99m
MASTER (7029),2.34,1.500,0.640,0.605,0.690,0.530,0.730,10.54,6.07,6.31,1.670,"1,001",34.96m
MATANG (0189),2.67,0.200,0.075,0.070,0.075,0.063,0.093,0.15,50.00,1.50,0.100,"14,493",135.75m
MATRIX (5236),6.85,13.500,1.970,1.940,2.020,1.741,2.096,25.98,7.58,15.28,1.700,"4,850",1.483b
MAXIS (6012),3.71,20.000,5.390,5.260,5.740,5.050,5.790,22.77,23.67,25.02,0.910,"20,030",42.132b
MAXWELL (5189),0.00,0.000,0.010,0.010,0.010,0.005,0.030,-33.71,-,-51.86,0.650,"8,018",4.00m
MAYBANK (1155),5.77,55.000,9.530,9.440,9.680,8.430,10.510,73.43,12.98,10.77,6.817,"127,564",105.303b
MAYBULK (5077),0.00,0.000,0.630,0.580,0.715,0.410,0.715,26.38,2.39,67.12,0.393,"5,822",630.00m
MBG (5886),3.75,3.000,0.800,0.800,0.810,0.800,1.050,1.21,66.12,0.66,1.830,12,48.64m
MBL (5152),2.83,3.000,1.060,1.010,1.100,0.905,1.240,12.61,8.41,10.17,1.240,673,109.18m
MBMR (5983),2.21,6.000,2.710,2.480,2.820,1.830,2.820,42.35,6.40,10.48,4.040,"2,205",1.059b
MBSB (1171),4.95,5.000,1.010,0.985,1.080,0.890,1.200,10.05,10.05,8.03,1.251,"50,075",6.453b
MBWORLD (7189),4.29,6.900,1.610,1.600,1.700,1.471,2.051,32.32,4.98,20.72,1.560,283,253.38m
MCEHLDG (7004),2.54,1.500,0.590,0.510,0.600,0.435,0.830,-8.32,-,-4.23,1.968,125,26.20m
MCLEAN (0167),0.00,0.000,0.110,0.100,0.115,0.100,0.170,-2.42,-,-16.13,0.150,192,19.67m
MCT (5182),0.00,0.000,0.660,0.605,0.660,0.600,0.910,-,-,-,0.605,326,961.62m
MEDAINC (5040),0.00,0.000,0.300,0.280,0.315,0.265,0.510,-4.78,-,-19.92,0.240,"3,322",147.77m
MEDIA (4502),0.00,0.000,0.475,0.390,0.500,0.250,0.600,5.29,8.98,7.26,0.729,"22,656",526.87m
MEDIAC (5090),8.23,1.810,0.220,0.210,0.265,0.183,0.491,-2.69,-,-5.93,0.454,"29,576",371.19m
MEGASUN (0081),0.00,0.000,0.160,0.160,0.195,0.135,0.260,0.49,32.65,1.63,0.300,782,35.72m
MELATI (5129),2.11,1.000,0.475,0.435,0.500,0.435,0.700,1.98,23.99,1.12,1.770,114,57.00m
MELEWAR (3778),0.00,0.000,0.125,0.110,0.140,0.090,0.240,-2.61,-,-3.48,0.750,"3,345",44.93m
MENANG (1694),0.00,0.000,0.365,0.350,0.430,0.340,0.545,2.39,15.27,3.62,0.660,"2,160",175.49m
MENTIGA (5223),0.00,0.000,0.510,0.435,0.510,0.435,0.715,3.42,14.91,1.78,1.920,31,35.70m
MERCURY (8192),4.65,4.000,0.860,0.860,0.940,0.860,1.790,3.35,25.67,1.83,1.828,71,34.56m
MERGE (5006),0.00,0.000,1.120,0.845,1.150,0.240,1.150,-13.11,-,-18.21,0.720,"5,557",75.04m
MESB (7234),0.00,0.000,0.270,0.240,0.295,0.185,0.405,-,-,-,1.060,920,22.11m
METFAPA (0826EA),0,0,1.040,1.020,1.050,0.940,1.075,-,-,-,-,93,-
METFSID (0825EA),0,0,0.842,0.820,0.845,0.795,0.859,-,-,-,-,23,-
METFUS50 (0827EA),0.00,0.000,1.030,0.995,1.050,0.900,1.100,-,-,-,0.000,20,13.40m
METROD (6149),3.53,6.000,1.700,1.600,1.750,1.540,1.750,7.58,22.43,2.15,3.520,9,204.00m
MFCB (3069),1.04,4.000,3.850,3.740,3.990,2.990,3.990,30.96,12.44,9.08,3.410,"1,205",1.607b
MFGROUP (03015),2.86,0.630,0.220,0.220,0.224,0.179,0.224,-,-,-,0.050,175,70.40m
MFLOUR (3662),10.66,6.500,0.610,0.515,0.625,0.452,1.510,1.87,32.62,1.26,1.490,"14,422",578.70m
MGB (7595),0.00,0.000,0.735,0.665,0.750,0.665,1.660,6.38,11.52,7.17,0.890,"3,473",365.21m
MGRC (0155),0.00,0.000,0.255,0.255,0.255,0.205,0.340,-4.30,-,-24.43,0.176,44,26.40m
MHB (5186),3.97,3.000,0.755,0.615,0.785,0.495,0.865,-7.67,-,-5.10,1.504,"6,355",1.208b
MHC (5026),3.28,2.000,0.610,0.600,0.660,0.560,0.825,2.17,28.11,1.72,1.260,142,119.89m
MHCARE (03005),1.04,0.500,0.480,0.450,0.480,0.255,0.500,-,-,-,0.079,66,96.31m
MI (5286),2.12,5.000,2.360,2.330,2.800,1.340,3.350,8.86,26.64,13.42,0.660,"24,317",1.180b
MICROLN (0126),0.00,0.000,0.450,0.405,0.525,0.335,0.625,-31.70,-,-174.18,0.182,379,75.32m
MIECO (5001),3.77,1.000,0.265,0.265,0.320,0.240,0.610,-11.54,-,-17.75,0.650,"16,053",139.13m
MIKROMB (0112),3.77,1.000,0.265,0.225,0.270,0.190,0.375,0.87,30.46,6.35,0.137,"3,229",114.19m
MILUX (7935),0.00,0.000,0.720,0.680,0.720,0.600,0.860,-3.81,-,-4.88,0.780,17,39.18m
MINDA (5166),0.00,0.000,0.050,0.045,0.055,0.040,0.220,-1.38,-,-7.26,0.190,"12,462",62.00m
MINETEC (7219),0.00,0.000,0.045,0.045,0.055,0.045,0.120,-0.30,-,-3.33,0.090,"6,141",41.47m
